,Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
313,Samsung,Galaxy A03,32,3,5,4000,720 x 1600,Android,6.5,4699
314,Samsung,Galaxy A73,256,8,32,4000,1080 x 2400,Android,6.7,21999
315,Oppo,A16K,32,3,5,4000,720 x 1600,Android,6.5,4199
316,Oppo,A57,64,4,8,4000,720 x 1612,Android,6.5,5799
317,Samsung,Galaxy A13,64,4,8,4000,1080 x 2408,Android,6.6,5349
318,Samsung,Galaxy A53,256,8,32,4000,1080 x 2400,Android,6.5,16499
319,Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
320,Xiaomi,Redmi A1 Plus,32,2,5,4000,720 x 1600,Android,6.5,3275
321,Xiaomi,Poco C40,64,4,5,5000,720 x 1650,Android,6.7,5099
322,Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
323,Samsung,Galaxy A54,256,8,32,4000,1080x2340,Android,6.4,18499
324,Samsung,Galaxy A24,128,6,13,4000,1080 x 2340,Android,6.5,7523
325,Honor,X8A,128,8,16,4000,1080 x 2388,Android,6.7,11499
326,Xiaomi,Redmi 10A,32,2,5,4000,720 x 1600,Android,6.5,3999
327,Samsung,Galaxy A34,256,8,13,4000,1080x2340,Android,6.6,12199
328,Nokia,105 (2023),Unidentified,,Not,1000,120 x 160,,1.8,799
329,realme,10,128,8,16,4000,1080 x 2400,Android,6.4,7195
330,Vivo,Y02,32,3,5,4000,1600 × 720,Android,6.5,4090
331,Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,28500
332,Xiaomi,Redmi Note 11,128,4,13,4000,1080 x 2400,Android,6.4,7099
333,Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,16499
334,Samsung,Galaxy A03,128,4,5,,,Android,6.5,5399
335,Xiaomi,Redmi 10 2022,128,4,8,4000,1080 × 2400,Android,6.5,5999
