Brand,title,storage,Ram,Front Camera,Battery,Resolutions,OS,Inches,price in EGY
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,24000
Xiaomi,Redmi 12,256,8,8,4000,2460x1080,Android,6.7,8250
Xiaomi,Redmi 12,256,8,8,4000,2460x1080,Android,6.7,8250
Samsung,Galaxy A14,64,4,13,4000,1080 x 2408,Android,6.6,5150
Apple,iPhone 14,128,4,12,3000,1170 x 2532,iOS,6.1,35999
Samsung,Galaxy A32,128,6,20,4000,,Android,6.4,9999
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,30299
Xiaomi,Redmi 10A,64,3,5,4000,720 × 1600,Android,6.5,4599
Oppo,A16K,64,4,5,,,Android,6.5,5299
Apple,iPhone 11,128,4,12,3000,1792 × 828,iOS,6.1,23350
Honor,X7,128,4,8,4000,1600x720,Android,6.7,6600
Xiaomi,Redmi Note 11,128,6,13,4000,1080 x 2400,Android,6.4,7899
Apple,iPhone 14 Pro,256,6,12,3000,1179 x 2556,iOS,6.1,50400
Samsung,Galaxy A14,128,4,13,4000,1080 x 2408,Android,6.6,5567
Oppo,A96,256,8,16,4000,1080 x 2412,Android,6.5,9299
Samsung,Galaxy A24,128,6,13,4000,1080 x 2340,Android,6.5,7523
Apple,iPhone 13,128,4,12,3000,1170 x 2532,iOS,6.1,31500
realme,10,256,8,16,4000,1080 x 2400,Android,6.4,8595
Xiaomi,Redmi 12C,128,4,5,4000,1650 × 720,Android,6.71,5250
Xiaomi,Redmi 10C,64,4,5,5000,720x1650,Android,6.7,5099
Oppo,Reno7,128,8,32,4000,1080 x 2400,Android,6.4,11999
Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.71,4463
Xiaomi,Redmi Note 12S,256,8,16,4000,1080x2400,Android,6.4,10998
Samsung,Galaxy M33,128,8,8,5000,1080 x 2408,Android,6.6,9695
Samsung,Galaxy A13,64,4,8,4000,1080 x 2408,Android,6.6,5550
Vivo,Y73,128,8,16,3000,1080 x 2400,Android,6.4,8999
Xiaomi,Redmi 12C,128,4,5,4000,720 x 1650,Android,6.71,5555
Xiaomi,Redmi 12C,128,4,5,4000,1650 × 720,Android,6.7,4950
Samsung,Galaxy A32,128,6,20,4000,,Android,6.4,12899
Xiaomi,Redmi 10C,128,4,5,4000,(720 x 1650),Android,6.4,5672
realme,C25Y,128,4,8,4000,720 x 1600 pixels,Android,6.5,5333
realme,C21Y,64,4,5,4000,720 x 1600,Android,6.5,4150
Oppo,A16,64,4,8,4000,720 x 1600,Android,6.5,5309
Oppo,A16,64,4,8,4000,720 x 1600,Android,6.5,5990
Huawei,nova Y70,128,4,8,5000,720 x 1600,EMUI,6.7,6285
realme,9i,128,6,16,,,Android,6.6,6995
Oppo,A76,128,6,8,4000,720 x 1612,Android,6.5,7199
Oppo,A96,128,8,16,4000,1080 x 2412,Android,6.5,8049
Samsung,Galaxy A14,64,4,13,4000,1080 x 2408,Android,6.6,5136
Xiaomi,Redmi Note 12,128,6,13,4000,1080x2400,Android,6.6,7980
Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4450
Xiaomi,Redmi 12C,64,3,5,4000,1650 × 720,Android,6.7,4450
Xiaomi,Redmi 12C,128,4,5,4000,1650 × 720,Android,6.7,4950
Xiaomi,Redmi Note 12,128,6,13,4000,1080x2400,Android,6.6,7749
Oppo,A17K,64,3,5,4000,,Android,6.52,5999
Nokia,Nokia 103,Unidentified,4,Unidentified,1000,120 x 160,,1.8,825
realme,Realme C33,64,4,5,4000,720 x 1600,Android,6.5,4890
realme,Realme C33,64,4,5,4000,720 x 1600,Android,6.5,4880
realme,Realme C31,32,3,5,4000,720 x 1600,Android,6.5,3700
Honor,X8,128,6,16,3000,1080 x 2388,Android,6.7,8399
Samsung,Galaxy A34,128,8,13,4000,1080 x 2340,Android,6.6,11000
Xiaomi,Redmi 12C,128,6,5,4000,720 x 1650,Android,6.71,5998
Xiaomi,Redmi 12C,128,6,5,4000,720 x 1650,Android,6.71,5965
Xiaomi,Redmi Note 12 Pro,128,8,16,4000,1080 x 2400,Android,6.67,11709
Xiaomi,Redmi 12C,128,6,5,4000,720 x 1650,Android,6.71,6140
Xiaomi,Redmi 12C,128,4,5,4000,1650 × 720,Android,6.7,4950
Samsung,Galaxy A53 5G,128,8,32,4000,1080 x 2400,Android,6.5,14999
Apple,IPhone 11,128,4,12,3000,828 x 1792,iOS,6.1,23350
Samsung,A34,128,8,13,4000,1080 x 2340,Android,6.6,10625
Samsung,Galaxy A52s,128,8,32,4000,1080 x 2400 pixels,Android,6.5,16399
Infinix,Smart 6,32,2,5,4000,720 x 1600,Android,6.6,3699
realme,Narzo 50A,128,4,8,5000,720 x 1600,Android,6.5,5330
Xiaomi,Redmi 10C,64,4,5,4000,720 x 1650,Android,6.7,7124
Samsung,Galaxy A73,128,8,32,4000,(1080 x 2400),Android,6.7,18000
Samsung,Galaxy A04s,128,4,5,4000,720 × 1600,Android,6.5,6981
Samsung,Galaxy M33,128,8,8,5000,1080 x 2408,Android,6.6,9600
Samsung,Galaxy A23,128,4,8,4000,1080 x 2408,Android,6.6,6600
Xiaomi,Redmi 10A,128,4,5,4000,720 x 1600,Android,6.5,5359
Xiaomi,Redmi Note 10s,128,8,13,4000,2400x1080,Android,6.4,8999
realme,C55,256,8,8,4000,1080 x 2400,Android,6.7,7695
Apple,iPhone 14,128,4,12,3000,1170 x 2532,iOS,6.1,34999
Apple,iPhone 11,128,4,12,,1792 × 828,iOS,6.1,23499
Honor,X7,128,4,8,4000,1600x720,Android,6.7,6599
Oppo,A96,256,8,16,4000,1080x2412,Android,6.5,9299
Xiaomi,Redmi Note 10s,128,6,13,4000,2400x1080,Android,6.4,8444
Vivo,Y16,64,4,5,4000,720 x 1600,Android,6.5,5515
Xiaomi,Redmi 9A,32,2,5,4000,720 x 1600,Android,6.5,3120
Oppo,A96,128,8,16,4000,1080 x 2412,Android,6.5,9169
Infinix,Hot 11 Play,64,4,8,5000,1640 x 720,Android,6.8,3800
Oppo,Reno 8,256,8,32,4000,1080 x 2400,Android,6.4,13799
Apple,iPhone 13,128,4,12,3000,2532x1170,iOS,6.1,32500
Samsung,Galaxy A23,128,4,8,4000,1080 x 2408,Android,6.6,6844
Apple,iPhone 14 Pro Max,128,6,12,4000,1290 x 2796,iOS,6.7,49000
Apple,iPhone 12,128,4,12,2000,1170 x 2532,iOS,6.1,28500
realme,C30,32,2,5,4000,720x1600,Android,6.5,3555
Vivo,Y35,128,8,16,4000,1080 x 2408,Android,6.6,8390
Nokia,106 (2023),Unidentified,,Not,1000,120 x 160,,1.8,840
Xiaomi,Redmi Note 12,128,6,13,4000,1080x2400,Android,6.6,7899
Samsung,Galaxy A54,256,8,32,4000,1080 x 2340,Android,6.4,15699
Samsung,Galaxy M22,128,4,13,4000,720 x 1600,Android,6.4,6666
Apple,iPhone 14 Pro Max,128,6,12,4000,1290 x 2796,iOS,6.7,49500
Apple,iPhone 14 Pro,128,6,12,3000,1179 x 2556,iOS,6.1,46500
Apple,iPhone 14 Pro Max,128,6,12,4000,1290 x 2796,iOS,6.7,49500
Samsung,Galaxy S22 Ultra,256,12,40,4000,1440 x 3088,Android,6.8,33500
Samsung,Galaxy A23,128,6,8,4000,1080x2400,Android,6.6,7499
realme,10,256,8,16,4000,1080 x 2400,Android,6.4,8330
Samsung,Galaxy A23,128,6,8,4000,(1080 x 2408),Android,6.6,7523
Apple,Iphone 14,128,4,12,3000,1170x2532,iOS,6.1,34999
Samsung,Galaxy A13,64,4,8,4000,(1080 x 2408),Android,6.6,5250
Xiaomi,Redmi Note 12,128,6,13,4000,1080 x 2400,Android,6.67,8210
